...1,name,category,review.point,price,currency,description,log_price,ABV,Age_of_Whisky,Distillery,Location,Region,Founded,Owner,Age_of_Distillery
182,"aberfeldy single cask (cask no. 5) 16 year old, 57.4%",Single Malt Scotch,92,250,$,"From a sherry cask. Bright and lively. Quite fruity, with notes of golden raisin, pineapple, nectarine, and tangerine. The fruit is balanced by honeyed malt and light caramel. A dusting of vanilla, cinnamon, and hint of cocoa, with black licorice on the finish. Lush and mouth-coating. The best of the Aberfeldy whiskies I’ve tasted to date. (New Hampshire only)",5.521460917862246,57.4,16,aberfeldy,Aberfeldy,Highland,1896,Bacardi,128
1926,"aberfeldy, 12 year old, 40%",Single Malt Scotch,82,40,$,"Fresh and floral, with lively tropical fruit, honey, and vanilla. Gentle on the palate, with a slight syrupy texture to its malty foundation. Youthful, orange marmalade finish with a hint of spice. A pleasant, easy-going whisky. 
",3.6888794541139363,40,12,aberfeldy,Aberfeldy,Highland,1896,Bacardi,128
782,"aberfeldy, 21 year old, 40%",Single Malt Scotch,88,170,$,"Similar in flavor to the Aberfeldy 12 reviewed below, but with more depth. There’s more orange rind in the marmalade notes, along with Clementine and coconut. The whisky finishes drier too, with a spicy flair. Still quite clean and nicely balanced throughout. A whisky for those of you who want a fun whisky that’s not heavy on the palate. 
",5.135798437050262,40,21,aberfeldy,Aberfeldy,Highland,1896,Bacardi,128
984,"aberlour 12 year old, 40%",Single Malt Scotch,87,55,$,"Matured in a mix of bourbon and sherry casks. It offers a nose redolent of Christmas pudding: figs, sultanas, orange, honey, and cream. Smooth on the palate with sweet spicy sherry, orchard fruits, and caramel. Raisins and plain chocolate in the lingering finish, with Jaffa orange notes to the end.",4.007333185232471,40,12,aberlour,Aberlour,Speyside,1879,Chivas Brothers,145
1614,"aberlour 12 year old, 40%",Single Malt Scotch,84,44,$,"Somehow this 12 year old—a mix of sherry and American oak—is overlooked by malt lovers heading straight to the mental world of a’Bunadh. This is Aberlour at a crucial point in its growth: you’ve lost the maltiness of the 10 year old, but there’s none of the heavy toffee and licorice of a’Bunadh or older expressions. Here it’s sweet fruits in charge: red apple, black currant, plum. The sherry has added depth, the American oak honey. Length and balance.",3.784189633918261,40,12,aberlour,Aberlour,Speyside,1879,Chivas Brothers,145
1613,"aberlour 12 year old, 43%",Single Malt Scotch,84,45,$,"Double Cask matured. Fruitier, sweeter, and more straightforward than the new 16 year old. Ripe tangerine, orchard fruit, and caramel apples, all on a bed of nutty toffee. Underlying notes of cinnamon, nutmeg, and ginger, with a dusting of dark chocolate. After the sweetness fades away, there’s lingering spice and oak resin on the finish. A good alternative to Macallan 12 year old or Glenfarclas 12 year old.",3.8066624897703196,43,12,aberlour,Aberlour,Speyside,1879,Chivas Brothers,145
781,"aberlour 16 year old, 40%",Single Malt Scotch,88,80,$,"Both bourbon and sherry casks were used for aging. Stewed fruits, butterscotch, and soft spices on the nose. Silky palate delivery, with honey, dark chocolate, light sherry, and cloves. Lingering finish, with citrus and allspice.",4.382026634673881,40,16,aberlour,Aberlour,Speyside,1879,Chivas Brothers,145
397,"aberlour 16 year old, 43%",Single Malt Scotch,90,55,$,"Double cask matured. More subtle and complex than the new 12 year old, and not as sweet. Creamy in texture and floral on the nose, with dried vanilla, gentle spice, nectarine, kiwi, plum, and lemon gum drops. Soft, elegant finish with a hint of mint. Great balance of a variety of flavors and lots of finesse. A well-crafted whisky!",4.007333185232471,43,16,aberlour,Aberlour,Speyside,1879,Chivas Brothers,145
181,"aberlour 18 year old, 43%",Single Malt Scotch,92,125,$,"This has a significant proportion of sherry wood and it marks a real step up from its younger stablemates. It boasts a stylish nose of old leathery cigar boxes, vanilla, and orange marmalade. Syrupy on the palate, with oranges, sweet sherry, honey, and figs. Spicy oak, caramel, citrus fruits, and aniseed in the lengthy finish.",4.8283137373023015,43,18,aberlour,Aberlour,Speyside,1879,Chivas Brothers,145
287,"aberlour 18 year old, 43%",Single Malt Scotch,91,100,$,"There was an Aberlour 18 on the market for a spell several years ago, aged in sherry casks, that I really enjoyed. Now we have this new 18 year old expression. There are big shoes to fill, and this whisky fills them quite nicely. Once again, the sherry is prominent throughout, with its lush fruit, velvety texture, and sweet demeanor. But it’s not cloying or sappy — the sherry blends in nicely with the rest of the flavors. Ripe orange, apricot preserve, peach cobbler, chocolate-covered caramel, and toffee, with a sprinkling of cinnamon and cocoa. Rich, silky smooth, satisfying finish. Very impressive. The Aberlour 18 year old’s reputation remains intact!",4.605170185988092,43,18,aberlour,Aberlour,Speyside,1879,Chivas Brothers,145
1615,"aberlour a’bunadh (batch 50), 59.6%",Single Malt Scotch,84,80,$,"Very sweet, with thick hard toffee, stewing dates and figs, molasses, and rum raisin ice cream, before some dark chocolate, dried mint, and orange peel. The palate is a different beast. It ignites on the tongue with a burst of dried pepper flakes, beneath which are cocktail bitters: gentian calamus. It begs for water, when out comes black currant jam (very Aberlour) and a little malt. Now it’s calm and hugely drinkable, and therefore even more dangerous.",4.382026634673881,59.6,NA,aberlour,Aberlour,Speyside,1879,Chivas Brothers,145
582,"aberlour a’bunadh (batch 61), 60.8%",Single Malt Scotch,89,100,$,"A’bunadh is matured entirely in Spanish oak oloroso butts, non-chill filtered, and bottled at cask strength. This edition is very rich, with dark berry notes on the nose, hazelnuts, caramel, cinnamon, and orange fondant creams. The palate is full and supple, with polished oak, honey, new leather, raisins, prunes, and a hint of cloves. Very long in the finish, with plain chocolate, black pepper, fruity spices, and oak.",4.605170185988092,60.8,NA,aberlour,Aberlour,Speyside,1879,Chivas Brothers,145
396,"aberlour a'bunadh, 59.9%",Single Malt Scotch,90,60,$,"Amber, with shades of ruby and gold. Aromas of complex ripe fruit (golden raisins, marmalade, cherries, apples), toffee, treacle, and hint of mint. Full, rich texture and body-almost chewy. Flavors of lush fruit drenched with honey and caramel. Long, warming, slightly spicy finish. I'm so happy to see this fine whisky finally imported to the U.S. after being available in its homeland now for about two years. The name a'bunadh literally means ""the origin"" in Gaelic, and it produced in the style of Aberlour back in the late 1800s-at the natural strength and not chill filtered. It certainly is an exciting whisky, produced in small batches (mine was Batch #6) from select oloroso sherry casks. I've noticed a slight variation in color from one batch to the next, largely due to the types of sherry casks selected.",4.0943445622221,59.9,NA,aberlour,Aberlour,Speyside,1879,Chivas Brothers,145
398,"aberlour a'bunadh, 60%",Single Malt Scotch,90,60,$,"Amber, with shades of ruby. Notes of complex honey-drenched fruit (sultana, marmalade, peaches, apples), toffee, treacle, and hint of mint. Full, rich texture and lush body. Long, warming, moderately spicy finish.",4.0943445622221,60,NA,aberlour,Aberlour,Speyside,1879,Chivas Brothers,145
2069,"abhainn dearg single malt special edition, 46%",Single Malt Scotch,81,239,$,"The first spirit distilled at Abhainn Dearg is now 3 years old and legally Scotch single malt whisky. The distillery has celebrated with a single cask, non-colored, non-chill filtered release of 2,011 500 ml bottles. Apricots, crystallized ginger, candied peel, and papier-mâché on the nose. The palate features fresh fruit, spicy oak, honeycomb, and finally, toffee. Quite short in the finish, with more toffee, and a nutty note. £150",5.476463551931511,46,NA,abhainn dearg,"Uig, Isle of Lewis",Island,2008,Independent,16
300,"adelphi (distilled at benriach) 1977 34 year old, 48.8%",Single Malt Scotch,91,283,$,"Sweet and sherried, with plenty of sugar and toffee, moving into plums and thick chestnut honey. Give it time, however, and a haunting note of dried mango and guava emerges, followed by amontillado-style nuttiness and then beeswax polish. All in all, just what you want from a gently-aged BenRiach. The palate may seem initially grippy, but there’s such a massing of fruits that it copes well. Keep neat for maximum impact. Superb. £180",5.645446897643238,48.8,34,benriach,Morayshire,Speyside,1898,Brown-Forman,126
423,"adelphi (distilled at bowmore) 12 year old 2000, 56.1%",Single Malt Scotch,90,92,$,"There’s a fascinating journey taking place here. The nose takes you indoors; caramelized tropical fruits, coffee cake, a spent fire in the grate, and just the merest whiff of the waves hitting the beach. The palate, however, places you squarely aboard a yacht under sail: salt spray, deck and engine oil, worn leather upholstery. It seems way more mature than 12 years. The intensity is lost with water, but you gain more smoke. A great bottling.  £59",4.5217885770490405,56.1,12,bowmore,Bowmore,Islay,1779,Beam Suntory,245
1456,"adelphi (distilled at bunnahabhain) 1989 25 year old, 45%",Single Malt Scotch,85,265,$,"Pale gold, with nettles and green apple on the nose alongside almond, light bread crust, and freshly-baked sponge cake. In time, there’s Starburst sweets. Some heat, even at this relatively low strength. There are mineral accents and, with water, the signature ginger. The palate is very sweet and soft with jelly fruits. Clean and supple, especially with water. Zesty, with a refreshing acidic balance.",5.579729825986222,45,25,bunnahabhain,Port Askaig,Islay,1881,Distell,143
441,"adelphi (distilled at clynelish), 1989, 10 year old, 61.5%",Single Malt Scotch,90,85,$,"Straw color. Fresh, appetizing aroma. Light-medium body. Nicely balanced flavors. Both the aroma and palate express notes of spices (Dijon mustard), brine, exotic peppers, caramel, and fruit. Lingering finish. 
",4.442651256490317,61.5,10,clynelish,Brora,Highland,1967,Diageo,57
1366,"adelphi (distilled at dailuaine) 1983 27 year old, 58.1%",Single Malt Scotch,86,165,$,"The dark color shouts “sherried!” and the nose confirms. After an initial blast of marzipan there’s rosin, stewed Assam tea, some licorice, hard treacle toffee, truffle, and a charred element, all backed with an earthy undertow. The palate is tight and quite hot, with charred red pepper and a bosky, wooded note. Not a great fan of water — this is about that deep, fungal stuff — there’s an uplift of sweet dark fruits at the end, offering balance. £105",5.10594547390058,58.1,27,dailuaine,Aberlour,Speyside,1852,Diageo,172
1049,"adelphi (distilled at glen grant) 1985 25 year old, 55%",Single Malt Scotch,87,138,$,"Old gold in color. Obviously an old whisky, but a delicate one that has subtle complexities; the balance between the dried grass/hayloft, the dried orange peel, and stewed apple, for example. Sweet and fragrant, it shows chypre notes with water alongside a more gentle floral aspect. The palate is drier than the nose suggests, quite mineral, with a lacy character. The finish shows melon and mint. Glen Grant in gentle repose.£88",4.927253685157205,55,25,glen grant,Rothes,Speyside,1840,Campari,184
1142,"adelphi (distilled at glen moray) 27 year old, 56.8%",Single Malt Scotch,87,158,$,"Each independent bottler has its own signature style. Adelphi’s is about relaxed, contemplative drams with rich maturity and a certain seriousness. Here you see this, plus crème brûlée, sitting in front of a sandalwood backdrop with a bunch of basil mint thrown in. The opening is slow, and while the inherent sweet nature of the distillery is there, hazelnuttish oak helps to add structure and stops any flabbiness from intruding. A luscious dram. £99",5.062595033026967,56.8,27,glen moray,Elgin,Speyside,1897,La Martiniquaise,127
856,"adelphi (distilled at glenrothes) 1990 20 year old, 58.6%",Single Malt Scotch,88,124,$,"The nose is redolent with the smells of autumn jam — slowly stewing dark berry fruits — but there’s a hint of hazelnut adding a drier edge alongside some waxed paper. As it opens, out comes argan oil. This constantly changing array of aromas is very Glenrothes, as is the vanilla lift when water is added, which comes with added cordite. The palate is very sweet, filled with fruit syrups and even some dried rose petal. The finish, long. £79",4.820281565605037,58.6,20,glenrothes,Rothes,Speyside,1879,Edrington,145
2012,"adelphi (distilled at glenrothes) 7 year old, 67.4%",Single Malt Scotch,82,135,$,"Massive with a huge sherried attack; seven years is the right time to bottle. There’s light raisin, date, and fig roll/treacle toffee, but it’s a funny one as it develops; while it is superficially impressive, it becomes clear that the oak-driven and distillery-derived parts, aren’t talking to each other. Water brings out light cask-driven sulfur. On the palate, the black fruits and Demerara rum take initial charge along with menthol. It’s tannic already, though. Lacks integration, but what else to do?",4.90527477843843,67.4,7,glenrothes,Rothes,Speyside,1879,Edrington,145
231,"adelphi (distilled at linkwood) 1984 26 year old, 57.6%",Single Malt Scotch,92,148,$,"There are light oaked notes to start, along with Oolong tea and very subtle smoke. These then shift into a mix of cedar and scented blossom. Classic, layered elegance with the cask offering support, not dominance. The fruits have that slightly eerie quality of decay, while the palate is deep and juicy. This is an exemplary, subtle, old whisky with delicate rancio (it’s a little cognac-like), which is given a boost of extra life with a small drop of water. £94",4.997212273764115,57.6,26,linkwood,Elgin,Speyside,1821,Diageo,203
1699,"adelphi (distilled at longmorn) 1985, 49.2%",Single Malt Scotch,84,320,$,"Plenty of the distillery’s fresh fruits, here with some Demerara sugar sprinkled on the top, a little hint of almond, peppermint, candied apple, and hard fruit sweets. The palate continues in the same vein, with some more apple (baked this time) and a chalky texture. Water allows it to become more creamy (think orange barley water), while a green fresh note emerges in the background. Just slightly bitter behind.",5.768320995793772,49.2,NA,longmorn,Elgin,Speyside,1893,Chivas Brothers,131
1974,"adelphi (distilled at longmorn) 20 year old 1992, 55.1%",Single Malt Scotch,82,124,$,"With Longmorn, you are always looking for a dense, sweet fruitiness. This doesn’t disappoint on the nose, where there’s moist compacted fruitcake with marzipan, Brazil nut, glacé cherry, a hint of tobacco, then hard toffee. The palate is soft to start but then an overly firm grip and slightly bitter edges come through. Though water improves it, the oak is slightly too dominant. That said, the nose is superb. £80",4.820281565605037,55.1,20,longmorn,Elgin,Speyside,1893,Chivas Brothers,131
496,"adelphi (distilled at macallan) 14 year old 1997, 51.6%",Single Malt Scotch,90,117,$,"Here is Macallan in full-blown masculine mode. Initially it seems tight and (sherry) cask driven, but soon you are taken into a winter kitchen with scents of venison, and appropriate rowanberry edges adding a sweet and sour fruitiness. That wild berry note is given another nudge by a whiff of burning juniper. The palate shows it to be thick with a quivering mass of black fruits, and a finish of molasses and licorice. A feast. £75",4.762173934797756,51.6,14,macallan,Craigellachie,Speyside,1824,Edrington,200
687,"adelphi (distilled at macallan) 22 year old, 56%",Single Malt Scotch,89,151,$,"Initially, this is Macallan in effusive Willy Wonka mood, with lots of toffee, chocolate, greengage, and light oiliness. The aroma thickens with water, and with it a more serious mien: brogues buffed to a high sheen. The palate is equally rich and layered, with cereal, black cherry, discreet oak. A complex mix, as befits a gentleman’s dram that every gentleman should have. £95",5.017279836814924,56,22,macallan,Craigellachie,Speyside,1824,Edrington,200
501,"adelphi (distilled at mortlach) 25 year old, 59.4%",Single Malt Scotch,90,157,$,"Rich amber in hue, sweet, and mellow with initial amontillado sherry notes that give way to Mortlach meatiness; here a lamb tagine with prune, apricot, and gravy juices. This elegance gives way to a fascinating palate mix of the sweet and the savory with citrus, sultana, and a rowanberry jab on the end mingling with just a bit of smoke. Everything mellowed by time and oak. Very good indeed. £99",5.056245805348308,59.4,25,mortlach,Dufftown,Speyside,1823,Diageo,201
554,"adelphi (distilled at mortlach) 26 year old, 58.6%",Single Malt Scotch,90,295,$,"Amber. Very meaty, with a touch of cordite, then dark fruits, wet earth, and autumn woods, cut with spicy licorice and Darjeeling tea. Water brings down this exuberance, adding iris and whole grain bread. The palate has typical, full-on Mortlach brawny muscle, with chestnut honey-glazed venison. Water bringing out sweetness, but without ever losing that glowering core. Lovers of the old 16 year old apply here.",5.68697535633982,58.6,26,mortlach,Dufftown,Speyside,1823,Diageo,201
2115,"adelphi (distilled at the glenlivet) 1978 34 year old, 48.8%",Single Malt Scotch,80,160,$,"Think of sponge fingers soaked in cream and you’re not far off the initial aroma. Add in light macadamia-like nuttiness, a drift of mint, and Glenlivet’s signature apple — core, not green. As it opens, it becomes woodier, like a brush pile. The palate has sweet, pure, pear-like fruit that initially keeps the oak in balance. It seems to need water, but when it’s added the oak takes over. Good, but a little tired. £102",5.075173815233827,48.8,34,glenlivet,Ballindalloch,Speyside,1824,Chivas Brothers,200
1289,"adelphi fascadale 12 year old batch 5 (distilled at highland park), 46%",Single Malt Scotch,86,69,$,"The fifth batch of Adelphi’s Fascadale single malt comprises a marriage of two Spanish oak casks and three American oak casks of Highland Park. The outturn is 1,483 bottles. Icing sugar, vanilla, milk chocolate, apricots, plus mildly smoky malt on the nose. Full-bodied and fruity on the palate, with toffee, black pepper, and a hint of peat in the background. The medium-length finish is slowly drying. £45",4.23410650459726,46,12,highland park,Kirkwall,Island,1798,Edrington,226
378,"ailsa bay, 48.9%",Single Malt Scotch,91,79,$,"The first release from Ailsa Bay distillery is an NAS peated single malt. The new make spirit initially spends 6 to 9 months in 24 to 100-liter Hudson Baby Bourbon casks. It’s then transferred to virgin oak, first-fill, and refill American oak casks for several years. The ultimate vatting is non-chill filtered. A sweet, smoky nose with almonds and walnuts leads into a palate featuring citrus fruit, spicy peat, and cereal notes, with cocoa and soft oak in the finish. (UK and Nordic availability) £55",4.3694478524670215,48.9,NA,ailsa bay,Girvan,Lowland,2009,William Grant & Sons,15
586,"ar4 elements of islay (distilled at ardbeg), 58.1%",Single Malt Scotch,89,151,$,"A touch of damp dunnage, some Ardbeggian soot, and plenty of jalapeño-style heat. Shows maturity and depth of character, with just-dead bonfire, ointment, and a sweetness, which here is like honeycomb. Water makes it bolder, with deeper smoke, while the palate has sweet wood, balanced (cigar-accented) smoke, and layers of salt, angelica, and plum. £90/500 ml",5.017279836814924,58.1,NA,ardbeg,Port Ellen,Islay,1815,LVMH,209
183,"ardbeg airidh nam beist, 1990 vintage, 46%",Single Malt Scotch,92,100,$,"Some of the best intensely smoky, peaty Islay whiskies are balanced with a foundation of malty sweetness. This whisky is an excellent example. A sinewy malt with the classic bold notes of kiln smoke, peat, tarry rope, and coal ash. Sweeter notes of honeyed malt, ripe vanilla, chocolate fudge, and toasted marshmallow temper and sooth the palate, along with background berry confit. The smoke lingers long on the palate. Ardbeg devotees will not be disappointed. 
",4.605170185988092,46,NA,ardbeg,Port Ellen,Islay,1815,LVMH,209
184,"ardbeg alligator, 51.2%",Single Malt Scotch,92,95,$,"Similar to the standard Ardbeg 10 year old, except that a portion of the whisky was aged in heavily charred barrels (referred to as an “alligator” char). An aggressive whisky — even for Ardbeg — with a leathery texture throughout. Dynamic too, with coal tar, soot, bourbon barrel char, espresso, cocoa, licorice root, smoked fish, and a hint of ginger. There’s a nice creamy vanilla underbelly to balance the aggressiveness and (at least partially) muzzle the Alligator.",4.553876891600541,51.2,NA,ardbeg,Port Ellen,Islay,1815,LVMH,209
92,ardbeg an oa,Single Malt Scotch,93,60,$,"Ardbeg's first standard release in nearly a decade, An Oa is matured in virgin oak, Pedro Ximénez, and bourbon barrels, with component whiskies married in the distillery's French oak 'Gathering Vat.' The nose offers sweet peat, smoky lemon rind, ginger, and angelica. A soft and sweet palate entry is followed by hot peat, black tea, peppery cloves, and aniseed. Black pepper lingers through the long, smoky finish.",4.0943445622221,NA,NA,ardbeg,Port Ellen,Islay,1815,LVMH,209
288,"ardbeg ardbog, 52.1%",Single Malt Scotch,91,100,$,"The follow-up to last year’s Ardbeg Day, here’s the cult distillery in its funkiest
guise with a nose that’s reminiscent (I’d imagine) of a frontier trading post:
all pitch, furs, and gun oil. Some mint hangs around in the background
alongside eucalyptus. This is an earthy, in-your-face Ardbeg with a hint of
box-fresh sneakers indicating some youthfulness. The mouth is thick and chewy:
wild mint, oily depths, and the slightly manic energy typical of Ardbeg’s young
years. Editor's Choice.",4.605170185988092,52.1,NA,ardbeg,Port Ellen,Islay,1815,LVMH,209
1617,"ardbeg auriverdes, 49.9%",Single Malt Scotch,84,100,$,"This year’s Ardbeg Day bottling is named in tribute to World Cup host Brazil’s national colors: Auri (Gold) and Verdes (Green). Very restrained to start: grassy, sweet with vanilla pod, shoreline, and smoke wrapped in a woolen blanket. The palate shows more smoke, light chocolate, Ardbeg oiliness, and soot. It’s fresh and charming, but ultimately is a quarterfinalist beaten on penalties.",4.605170185988092,49.9,NA,ardbeg,Port Ellen,Islay,1815,LVMH,209
6,"ardbeg corryvreckan, 57.1%",Single Malt Scotch,96,85,$,"Powerful, muscular, well-textured, and invigorating. Even within the realm of Ardbeg, this one stands out. The more aggressive notes of coal tar, damp kiln, anise, and smoked seaweed are supported by an array of fruit (black raspberry, black cherry, plum), dark chocolate, espresso, molasses, bacon fat, kalamata olive, and warming cinnamon on the finish. Quite stunning!",4.442651256490317,57.1,NA,ardbeg,Port Ellen,Islay,1815,LVMH,209
291,"ardbeg dark cove committee edition, 55%",Single Malt Scotch,91,110,$,"This is the bigger, spicier, and more complex of the pair (see below). A prickly start leads to heavy peat smoke, pink and Szechuan peppercorns, vanilla, dark chocolate, angelica, then seaweed. The palate is oily, with a detonation of gunpowdery peat, licorice, smoked eel, and a feral edge that adds grunt. Layered and complex.",4.700480365792417,55,NA,ardbeg,Port Ellen,Islay,1815,LVMH,209
987,"ardbeg dark cove, 46.5%",Single Malt Scotch,87,110,$,"Maybe not as massive as its higher-strength brother (see above), but don’t think that this is light. There’s immediate grumbling peatiness, mixed with dark chocolate, lanolin, and tamarind, while the spiciness brings to mind tandoori food. There’s still the seaweed element, while the lower strength pulls things into a darker core—coal tar soap, damp moss. A very oily palate, that with water takes you onto the peat bog. Seashells on a fire and more smoke round things off.",4.700480365792417,46.5,NA,ardbeg,Port Ellen,Islay,1815,LVMH,209
585,"ardbeg day, 56.7%",Single Malt Scotch,89,90,$,"Let it be known that from now on, June 2nd will be Ardbeg Day. That’s fine by me, as annually we can enjoy delights such as this bold expression that belts you in the nose with coal tar and soot before bay rum emerges, lightening slightly into lime and hot green bracken. The palate is oily, sweet, and very deep. A growly bugger that lurches toward the shore and then spins back to the laurel bushes inland. 13,000 bottles.",4.499809670330265,56.7,NA,ardbeg,Port Ellen,Islay,1815,LVMH,209
2087,"ardbeg galileo, 49%",Single Malt Scotch,80,95,$,"Released to celebrate the Ardbeg space mission, this is a mix of 1990 Ardbeg from bourbon and Marsala casks, and it’s the latter which make the running from the start. Earthy, with blackberry and fruitcake, and sooty peatiness in the background. While there’s a medicinal/herbal note with water, the palate has a damp wood edge. Fortified wine can work with peat, but here there’s a clash between distillery character and the Marsala cask. Sadly, a disappointment.",4.553876891600541,49,NA,ardbeg,Port Ellen,Islay,1815,LVMH,209
293,"ardbeg grooves, 46%",Single Malt Scotch,91,110,$,"The 2018 Ardbeg Day limited-edition bottling includes a proportion of spirit matured in red wine casks which have been heavily charred, leaving deep grooves in the surface of the oak. Fragrant soft smoke, warm leather, and salty red berries on the nose; background charcuterie. The palate offers red berry fruits, vanilla, dense peat smoke, brine, and asphalt. Beach bonfires and black pepper in the sweet finish.",4.700480365792417,46,NA,ardbeg,Port Ellen,Islay,1815,LVMH,209
784,"ardbeg kelpie, 46%",Single Malt Scotch,88,119,$,"A proportion of the component whiskies has been matured in virgin Black Sea oak casks, while the rest has been aged in bourbon barrels. The nose is sweet, with warm cloves and soft peat; a hint of brine. When it comes to the palate—curious! Menthol and herbal notes, toasted oak, plain chocolate, sweet antiseptic. Mildly tannic in the finish, with subtle peaty spiciness. An herbal peat note lingers long.",4.77912349311153,46,NA,ardbeg,Port Ellen,Islay,1815,LVMH,209
